Date,Open,High,Low,Close,Adj Close,Volume
2019-02-13,3.5,3.9,3.39,3.68,3.68,170200
2019-02-14,3.68,4.11,3.64,3.76,3.76,62700
2019-02-15,4.04,4.04,3.82,3.82,3.82,29300
2019-02-19,4.04,4.04,3.856,3.898,3.898,26200
2019-02-20,4.04,4.04,3.691,4.0,4.0,54600
2019-02-21,4.11,4.11,4.0,4.1,4.1,27600
2019-02-22,4.029,4.1,3.87,4.03,4.03,20000
2019-02-25,3.86,4.11,3.798,3.85,3.85,57800
2019-02-26,3.916,4.0,3.908,3.99,3.99,6300
2019-02-27,3.99,3.99,3.813,3.95,3.95,6500
2019-02-28,3.9,4.05,3.75,3.9,3.9,6000
2019-03-01,3.99,3.99,3.75,3.758,3.758,7500
2019-03-04,3.85,3.98,3.41,3.41,3.41,29500
2019-03-05,3.22,3.46,3.216,3.216,3.216,1700
2019-03-06,3.21,3.216,2.61,2.72,2.72,57200
2019-03-07,2.997,3.0,2.6,2.67,2.67,12900
2019-03-08,2.832,2.99,2.73,2.965,2.965,31600
2019-03-11,3.25,3.85,2.917,2.965,2.965,8900
2019-03-12,3.02,3.896,2.95,3.3,3.3,67000
2019-03-13,3.74,3.74,3.02,3.04,3.04,12900
2019-03-14,3.45,3.869,3.06,3.1,3.1,18200
2019-03-15,3.16,3.4,2.988,3.12,3.12,22200
2019-03-18,3.1,3.375,3.04,3.04,3.04,2700
2019-03-19,3.386,4.6,3.164,3.72,3.72,238200
2019-03-20,4.05,4.6,3.52,3.75,3.75,153100
2019-03-21,4.162,4.162,3.655,3.9,3.9,10100
2019-03-22,3.84,4.248,3.84,4.02,4.02,13200
2019-03-25,4.27,4.27,3.9,3.94,3.94,5800
2019-03-26,3.93,4.33,3.65,3.67,3.67,15900
2019-03-27,4.132,7.205,3.75,7.01,7.01,617500
2019-03-28,6.45,6.45,4.75,4.85,4.85,257700
2019-03-29,4.8,5.434,4.5,5.0,5.0,37500
2019-04-01,5.48,5.85,5.0,5.3,5.3,184100
2019-04-02,5.45,5.75,5.0,5.5,5.5,200900
2019-04-03,5.5,5.6,5.25,5.6,5.6,52500
2019-04-04,5.648,5.85,5.35,5.42,5.42,56500
2019-04-05,5.5,5.65,5.4,5.45,5.45,23600
2019-04-08,5.6,5.6,5.086,5.376,5.376,37700
2019-04-09,5.21,5.575,5.1,5.32,5.32,17400
2019-04-10,5.4,5.4,4.6,5.253,5.253,31500
2019-04-11,5.232,5.55,4.914,5.0,5.0,31400
2019-04-12,5.01,5.333,4.12,4.5,4.5,43900
2019-04-15,4.73,5.11,4.6,4.66,4.66,6000
2019-04-16,4.67,4.678,3.65,4.235,4.235,52000
2019-04-17,4.609,4.99,3.76,3.76,3.76,55700
2019-04-18,4.03,4.285,3.77,4.15,4.15,16000
2019-04-22,4.34,4.358,3.96,4.27,4.27,13300
2019-04-23,4.0,4.399,4.0,4.34,4.34,5000
2019-04-24,4.302,4.399,4.272,4.399,4.399,700
2019-04-25,4.42,4.737,4.42,4.62,4.62,20400
2019-04-26,4.25,4.65,4.25,4.448,4.448,18800
2019-04-29,4.32,4.486,4.0,4.02,4.02,18600
2019-04-30,4.09,4.51,4.07,4.38,4.38,11800
2019-05-01,4.325,4.327,4.021,4.327,4.327,1300
2019-05-02,4.09,4.219,4.0,4.162,4.162,8700
2019-05-03,4.1,4.268,4.065,4.268,4.268,3500
2019-05-06,4.115,4.187,4.099,4.099,4.099,3300
2019-05-07,4.15,4.233,3.99,4.057,4.057,17800
2019-05-08,4.0,4.02,3.9,4.02,4.02,5100
2019-05-09,4.042,4.06,3.95,3.985,3.985,2900
2019-05-10,3.94,3.947,3.94,3.947,3.947,600
2019-05-13,3.7,4.02,3.6,3.98,3.98,19100
2019-05-14,3.926,3.938,3.926,3.938,3.938,600
2019-05-15,4.12,4.42,4.038,4.335,4.335,15100
2019-05-16,4.5,4.5,4.03,4.22,4.22,6700
2019-05-17,4.282,4.282,4.16,4.21,4.21,2000
2019-05-20,4.4,4.4,4.004,4.36,4.36,900
2019-05-21,4.332,4.332,4.03,4.27,4.27,2200
2019-05-22,4.27,4.27,4.27,4.27,4.27,100
2019-05-23,4.299,4.337,4.03,4.03,4.03,1400
2019-05-24,4.2,4.329,4.05,4.05,4.05,7300
2019-05-28,4.6,5.19,4.31,4.7,4.7,52400
2019-05-29,4.8,5.5,4.4,4.811,4.811,74900
2019-05-30,4.8,5.02,4.539,4.969,4.969,6600
2019-05-31,5.02,5.02,4.51,4.93,4.93,5500
2019-06-03,4.54,5.02,4.54,4.76,4.76,2800
2019-06-04,4.877,4.989,4.716,4.943,4.943,3500
2019-06-05,4.79,5.5,4.67,4.79,4.79,26600
2019-06-06,5.4,5.425,4.876,4.9,4.9,4800
2019-06-07,4.99,5.37,4.623,4.82,4.82,11100
2019-06-10,4.618,4.99,4.605,4.7,4.7,2500
2019-06-11,4.7,4.937,4.4,4.42,4.42,15800
2019-06-12,4.4,5.067,4.4,4.84,4.84,11500
2019-06-13,4.9,5.0,4.63,4.72,4.72,16500
2019-06-14,4.422,4.76,4.422,4.75,4.75,4200
2019-06-17,4.958,5.15,4.81,5.0,5.0,39900
2019-06-18,5.076,5.1,4.8,4.98,4.98,3500
2019-06-19,4.8,5.0,4.25,4.7,4.7,22400
2019-06-20,4.61,4.61,4.32,4.57,4.57,11900
2019-06-21,4.55,4.55,4.03,4.03,4.03,15600
2019-06-24,4.35,4.35,3.8,4.131,4.131,15800
2019-06-25,3.87,4.032,3.8,3.802,3.802,10000
2019-06-26,3.8,3.92,3.8,3.8,3.8,2300
2019-06-27,4.09,4.275,3.8,3.92,3.92,1700
2019-06-28,4.14,4.14,3.9,3.99,3.99,2100
2019-07-01,4.229,4.4,4.2,4.4,4.4,7600
2019-07-02,4.2,4.38,4.2,4.2,4.2,5000
2019-07-03,4.2,4.2,4.2,4.2,4.2,0
2019-07-05,4.298,4.33,4.2,4.292,4.292,2600
2019-07-08,4.59,4.6,4.2,4.2,4.2,5200
2019-07-09,4.2,4.6,3.85,4.181,4.181,5700
2019-07-10,3.9,4.17,3.9,4.17,4.17,2600
2019-07-11,4.056,4.161,3.85,3.85,3.85,4900
2019-07-12,4.021,4.188,3.268,3.561,3.561,14000
2019-07-15,3.75,3.962,3.742,3.742,3.742,1700
2019-07-16,3.993,3.993,3.61,3.75,3.75,4900
2019-07-17,3.6,3.7,3.56,3.61,3.61,2100
2019-07-18,3.69,3.69,3.45,3.45,3.45,1400
