Date,Open,High,Low,Close,Adj Close,Volume
2022-06-07,9.95,9.96,9.95,9.96,9.96,11500
2022-06-08,9.96,9.96,9.94,9.94,9.94,3800
2022-06-09,9.947,9.947,9.947,9.947,9.947,200
2022-06-10,9.96,9.96,9.96,9.96,9.96,100
2022-06-13,9.94,9.97,9.94,9.97,9.97,87900
2022-06-14,9.96,9.96,9.96,9.96,9.96,400
2022-06-15,9.96,9.96,9.96,9.96,9.96,0
2022-06-16,9.94,9.965,9.94,9.96,9.96,16300
2022-06-17,9.96,9.96,9.96,9.96,9.96,300
2022-06-21,9.92,9.92,9.92,9.92,9.92,300
2022-06-22,9.92,9.92,9.92,9.92,9.92,20000
2022-06-23,9.95,9.97,9.95,9.97,9.97,12100
2022-06-24,9.96,9.96,9.96,9.96,9.96,5000
2022-06-27,9.96,9.96,9.94,9.96,9.96,1500
2022-06-28,9.94,9.97,9.94,9.97,9.97,10700
2022-06-29,9.97,9.97,9.95,9.97,9.97,1800
2022-06-30,9.97,9.97,9.92,9.92,9.92,28000
2022-07-01,9.92,9.92,9.92,9.92,9.92,0
2022-07-05,9.92,9.92,9.92,9.92,9.92,0
2022-07-06,9.92,9.92,9.92,9.92,9.92,0
2022-07-07,9.96,9.97,9.96,9.96,9.96,25400
2022-07-08,9.97,9.97,9.97,9.97,9.97,19800
2022-07-11,9.96,9.97,9.96,9.97,9.97,10000
2022-07-12,9.97,9.97,9.97,9.97,9.97,900
2022-07-13,9.95,9.95,9.95,9.95,9.95,1300
2022-07-14,9.95,9.95,9.95,9.95,9.95,0
2022-07-15,9.95,9.95,9.95,9.95,9.95,0
2022-07-18,9.96,9.96,9.95,9.95,9.95,72600
2022-07-19,9.95,9.95,9.95,9.95,9.95,0
2022-07-20,9.95,9.95,9.95,9.95,9.95,0
2022-07-21,9.97,9.97,9.97,9.97,9.97,11500
2022-07-22,9.97,9.99,9.97,9.97,9.97,31400
2022-07-25,9.98,9.987,9.98,9.987,9.987,5200
2022-07-26,9.98,9.99,9.98,9.99,9.99,10000
2022-07-27,9.99,9.99,9.97,9.99,9.99,201700
2022-07-28,9.99,9.99,9.99,9.99,9.99,0
2022-07-29,10.0,10.0,10.0,10.0,10.0,13400
2022-08-01,10.0,10.0,10.0,10.0,10.0,0
2022-08-02,10.0,10.0,10.0,10.0,10.0,500
2022-08-03,9.99,9.99,9.99,9.99,9.99,300
2022-08-04,10.0,10.0,10.0,10.0,10.0,900
2022-08-05,10.0,10.01,10.0,10.0,10.0,17300
2022-08-08,10.0,10.0,10.0,10.0,10.0,0
2022-08-09,10.0,10.0,10.0,10.0,10.0,0
2022-08-10,10.0,10.0,10.0,10.0,10.0,0
2022-08-11,10.0,10.0,10.0,10.0,10.0,100
2022-08-12,10.0,10.0,10.0,10.0,10.0,100
2022-08-15,10.0,10.0,10.0,10.0,10.0,0
2022-08-16,10.01,10.01,10.01,10.01,10.01,30000
2022-08-17,10.01,10.01,10.01,10.01,10.01,0
2022-08-18,10.01,10.01,10.01,10.01,10.01,0
2022-08-19,10.0,10.0,10.0,10.0,10.0,7200
2022-08-22,10.0,10.0,10.0,10.0,10.0,0
2022-08-23,10.12,10.12,10.12,10.12,10.12,1400
2022-08-24,10.12,10.12,10.12,10.12,10.12,0
2022-08-25,10.12,10.12,10.12,10.12,10.12,0
2022-08-26,10.12,10.12,10.12,10.12,10.12,0
2022-08-29,10.11,10.11,10.06,10.06,10.06,1200
2022-08-30,10.115,10.115,10.03,10.03,10.03,150600
2022-08-31,10.03,10.03,10.03,10.03,10.03,0
2022-09-01,10.11,10.11,10.11,10.11,10.11,600
2022-09-02,10.11,10.11,10.11,10.11,10.11,0
2022-09-06,10.11,10.11,10.11,10.11,10.11,200
2022-09-07,10.11,10.11,10.11,10.11,10.11,0
2022-09-08,10.11,10.11,10.11,10.11,10.11,0
2022-09-09,10.11,10.11,10.11,10.11,10.11,0
2022-09-12,10.05,10.05,10.05,10.05,10.05,2000
2022-09-13,10.04,10.04,10.04,10.04,10.04,2000
2022-09-14,10.05,10.05,10.05,10.05,10.05,600
2022-09-15,10.05,10.05,10.04,10.04,10.04,192600
2022-09-16,10.04,10.04,10.04,10.04,10.04,0
2022-09-19,10.125,10.125,10.07,10.07,10.07,900
2022-09-20,10.07,10.07,10.07,10.07,10.07,0
2022-09-21,10.09,10.09,10.09,10.09,10.09,800
2022-09-22,10.09,10.09,10.09,10.09,10.09,0
2022-09-23,10.09,10.09,10.09,10.09,10.09,0
2022-09-26,10.09,10.09,10.09,10.09,10.09,0
2022-09-27,10.09,10.09,10.09,10.09,10.09,0
2022-09-28,10.07,10.07,10.07,10.07,10.07,2600
2022-09-29,10.07,10.07,10.07,10.07,10.07,200
2022-09-30,10.07,10.07,10.07,10.07,10.07,500
2022-10-03,10.07,10.07,10.07,10.07,10.07,0
2022-10-04,10.08,10.08,10.075,10.08,10.08,59800
2022-10-05,10.09,10.09,10.08,10.08,10.08,500
2022-10-06,10.08,10.09,10.08,10.09,10.09,2700
2022-10-07,10.09,10.09,10.08,10.08,10.08,7700
2022-10-10,10.09,10.55,10.09,10.11,10.11,1300
2022-10-11,10.1,10.1,10.1,10.1,10.1,11600
2022-10-12,10.1,10.1,10.1,10.1,10.1,0
2022-10-13,10.105,10.105,10.105,10.105,10.105,2400
2022-10-14,10.105,10.105,10.105,10.105,10.105,0
2022-10-17,10.11,10.11,10.1,10.1,10.1,32100
2022-10-18,10.1,10.1,10.1,10.1,10.1,0
2022-10-19,10.1,10.1,10.1,10.1,10.1,3400
2022-10-20,10.49,10.6,10.12,10.13,10.13,2100
2022-10-21,10.1,10.105,10.1,10.1,10.1,18400
2022-10-24,10.1,10.1,10.1,10.1,10.1,0
2022-10-25,10.1,10.1,10.1,10.1,10.1,0
2022-10-26,10.13,10.13,10.13,10.13,10.13,300
2022-10-27,10.13,10.13,10.13,10.13,10.13,0
2022-10-28,10.14,10.15,10.14,10.15,10.15,2800
2022-10-31,10.15,10.15,10.15,10.15,10.15,600
2022-11-01,10.15,10.15,10.15,10.15,10.15,2100
2022-11-02,10.15,10.15,10.15,10.15,10.15,0
2022-11-03,10.15,10.15,10.15,10.15,10.15,0
2022-11-04,10.15,10.15,10.15,10.15,10.15,0
2022-11-07,10.15,10.15,10.15,10.15,10.15,0
2022-11-08,10.15,10.15,10.15,10.15,10.15,0
2022-11-09,10.16,10.16,10.16,10.16,10.16,300
2022-11-10,10.16,10.16,10.16,10.16,10.16,0
2022-11-11,10.318,10.318,10.16,10.184,10.184,900
2022-11-14,10.175,10.175,10.175,10.175,10.175,200
2022-11-15,10.19,10.19,10.19,10.19,10.19,400
2022-11-16,10.19,10.19,10.19,10.19,10.19,0
2022-11-17,10.19,10.19,10.19,10.19,10.19,0
2022-11-18,10.18,10.18,10.18,10.18,10.18,100
2022-11-21,10.185,10.19,10.185,10.19,10.19,4400
2022-11-22,10.19,10.19,10.19,10.19,10.19,0
2022-11-23,10.215,10.215,10.19,10.19,10.19,1900
2022-11-25,10.19,10.19,10.19,10.19,10.19,0
2022-11-28,10.19,10.19,10.19,10.19,10.19,0
2022-11-29,10.19,10.19,10.19,10.19,10.19,0
2022-11-30,10.19,10.19,10.19,10.19,10.19,0
2022-12-01,10.22,10.22,10.22,10.22,10.22,7100
2022-12-02,10.22,10.22,10.22,10.22,10.22,0
2022-12-05,10.22,10.22,10.22,10.22,10.22,0
2022-12-06,10.22,10.22,10.22,10.22,10.22,0
2022-12-07,10.23,10.23,10.23,10.23,10.23,22500
2022-12-08,10.22,10.23,10.22,10.23,10.23,300
2022-12-09,10.24,10.24,10.24,10.24,10.24,200
2022-12-12,10.25,10.25,10.25,10.25,10.25,11300
2022-12-13,10.27,10.27,10.25,10.25,10.25,6200
2022-12-14,10.24,10.26,10.24,10.26,10.26,1100
2022-12-15,10.26,10.26,10.26,10.26,10.26,0
2022-12-16,10.24,10.24,10.24,10.24,10.24,3900
2022-12-19,9.82,10.27,9.82,10.27,10.27,600
2022-12-20,10.25,10.26,10.24,10.25,10.25,159900
2022-12-21,10.27,10.27,10.23,10.23,10.23,600
2022-12-22,10.23,10.23,10.23,10.23,10.23,0
2022-12-23,10.24,10.255,10.24,10.255,10.255,12600
2022-12-27,10.27,10.29,10.24,10.27,10.27,30500
2022-12-28,10.24,10.27,10.24,10.24,10.24,2000
2022-12-29,10.28,10.28,10.28,10.28,10.28,200
2022-12-30,10.29,10.29,10.29,10.29,10.29,300
2023-01-03,10.25,10.27,10.25,10.25,10.25,1200
2023-01-04,10.27,10.27,10.25,10.27,10.27,52300
2023-01-05,10.3,10.35,10.28,10.28,10.28,16400
2023-01-06,10.275,10.28,10.275,10.28,10.28,800
2023-01-09,10.27,10.27,10.27,10.27,10.27,100
2023-01-10,10.27,10.27,10.27,10.27,10.27,0
2023-01-11,10.32,10.32,10.32,10.32,10.32,2000
2023-01-12,10.32,10.32,10.32,10.32,10.32,0
2023-01-13,10.32,10.32,10.32,10.32,10.32,0
2023-01-17,10.32,10.32,10.32,10.32,10.32,0
2023-01-18,10.32,10.32,10.32,10.32,10.32,0
2023-01-19,10.32,10.32,10.32,10.32,10.32,0
2023-01-20,10.32,10.32,10.32,10.32,10.32,0
2023-01-23,10.33,10.35,10.33,10.35,10.35,60500
2023-01-24,10.35,10.35,10.35,10.35,10.35,1000
2023-01-25,10.35,10.35,10.35,10.35,10.35,0
2023-01-26,10.35,10.59,10.35,10.39,10.39,103300
