Date,Open,High,Low,Close,Adj Close,Volume
2021-09-22,9.5,10.88,9.3,9.99,9.99,7448500
2021-09-23,9.9,9.97,9.5,9.7,9.7,1223200
2021-09-24,9.81,10.35,9.55,10.0,10.0,1376400
2021-09-27,9.99,10.18,9.52,9.93,9.93,1024600
2021-09-28,9.72,9.92,9.38,9.49,9.49,800400
2021-09-29,9.6,9.6,8.88,9.0,9.0,851700
2021-09-30,8.95,9.202,8.36,8.56,8.56,527400
2021-10-01,8.53,8.76,8.01,8.6,8.6,893800
2021-10-04,8.45,8.67,7.95,8.43,8.43,941400
2021-10-05,8.43,8.72,8.31,8.47,8.47,227100
2021-10-06,8.3,8.42,7.975,8.22,8.22,327200
2021-10-07,8.2,8.35,7.79,8.2,8.2,597000
2021-10-08,8.06,8.44,8.01,8.21,8.21,329100
2021-10-11,8.2,8.57,8.2,8.29,8.29,192100
2021-10-12,8.35,8.49,8.16,8.43,8.43,219200
2021-10-13,8.5,8.57,8.3,8.4,8.4,245000
2021-10-14,8.39,8.52,8.33,8.41,8.41,132300
2021-10-15,8.37,8.64,8.31,8.52,8.52,187400
2021-10-18,8.75,8.92,8.57,8.92,8.92,860800
2021-10-19,9.08,9.89,8.99,9.86,9.86,1188800
2021-10-20,9.88,10.57,9.83,10.47,10.47,827500
2021-10-21,10.31,10.78,9.95,10.73,10.73,727000
2021-10-22,10.77,10.77,10.31,10.32,10.32,266700
2021-10-25,10.38,10.41,9.69,9.77,9.77,499500
2021-10-26,9.66,10.2,9.65,9.79,9.79,282400
2021-10-27,9.66,10.28,9.59,10.0,10.0,177400
2021-10-28,9.96,10.247,9.86,9.89,9.89,179000
2021-10-29,9.91,10.18,9.77,10.17,10.17,180000
2021-11-01,10.11,10.39,10.07,10.14,10.14,176500
2021-11-02,10.16,10.83,10.16,10.83,10.83,240800
2021-11-03,10.8,11.58,10.8,11.45,11.45,321700
2021-11-04,11.5,11.95,11.5,11.88,11.88,402000
2021-11-05,11.95,11.99,10.99,11.6,11.6,572800
2021-11-08,11.59,11.97,11.39,11.49,11.49,145300
2021-11-09,11.28,11.62,11.05,11.36,11.36,277000
2021-11-10,12.0,12.1,11.38,11.85,11.85,593600
2021-11-11,11.97,12.42,11.78,12.41,12.41,352100
2021-11-12,12.45,12.94,12.41,12.73,12.73,288300
2021-11-15,13.0,14.37,12.99,14.27,14.27,411800
2021-11-16,13.85,15.23,13.603,15.19,15.19,590900
2021-11-17,14.87,15.07,14.6,14.76,14.76,579900
2021-11-18,14.61,14.952,14.42,14.42,14.42,230200
2021-11-19,14.17,14.295,13.22,13.73,13.73,319200
2021-11-22,13.9,14.16,13.4,13.45,13.45,180500
2021-11-23,13.41,13.56,12.495,12.73,12.73,304300
2021-11-24,12.56,13.4,12.45,13.23,13.23,132500
2021-11-26,13.22,13.22,12.51,12.62,12.62,126300
2021-11-29,12.84,12.9,12.42,12.49,12.49,331200
2021-11-30,12.36,12.367,11.72,11.85,11.85,240600
2021-12-01,12.14,12.14,11.51,11.57,11.57,157800
2021-12-02,11.39,11.629,11.32,11.52,11.52,264700
2021-12-03,11.75,11.83,10.65,10.9,10.9,267100
2021-12-06,10.81,11.3,10.65,11.0,11.0,199500
2021-12-07,11.24,11.71,11.11,11.6,11.6,212100
2021-12-08,11.69,12.26,11.5,11.6,11.6,215000
2021-12-09,11.53,11.75,11.13,11.13,11.13,132600
2021-12-10,11.2,11.25,10.72,10.85,10.85,200700
2021-12-13,10.85,10.9,9.9,9.91,9.91,302300
2021-12-14,9.81,10.057,9.6,9.85,9.85,213700
2021-12-15,9.9,9.9,9.28,9.67,9.67,401100
2021-12-16,9.65,9.88,8.89,8.94,8.94,371900
2021-12-17,9.18,9.27,8.59,8.64,8.64,1808900
2021-12-20,8.46,8.88,8.265,8.74,8.74,431600
2021-12-21,8.87,9.31,8.39,8.67,8.67,388700
2021-12-22,8.61,8.65,8.29,8.56,8.56,351200
2021-12-23,8.46,8.775,8.427,8.73,8.73,163900
2021-12-27,8.79,9.01,8.61,8.97,8.97,165100
