Date,Open,High,Low,Close,Adj Close,Volume
2022-05-31,13.1,13.1,4.32,5.42,5.42,24100
2022-06-01,6.76,7.0,5.25,5.26,5.26,17100
2022-06-02,4.9,5.28,4.048,4.77,4.77,35600
2022-06-03,5.01,5.2,4.95,5.2,5.2,1200
2022-06-06,4.99,5.06,4.79,4.92,4.92,13200
2022-06-07,5.64,5.74,4.43,4.9,4.9,331200
2022-06-08,4.77,4.89,4.34,4.545,4.545,40600
2022-06-09,4.54,4.74,4.25,4.55,4.55,13300
2022-06-10,4.36,4.8,4.1,4.49,4.49,10500
2022-06-13,4.8,5.35,4.49,5.15,5.15,10900
2022-06-14,4.78,5.24,4.72,4.75,4.75,8700
2022-06-15,5.0,5.0,4.69,4.76,4.76,3600
2022-06-16,4.65,4.9,4.53,4.898,4.898,6800
2022-06-17,4.9,4.9,4.9,4.9,4.9,1400
2022-06-21,4.9,4.9,4.6,4.9,4.9,1900
2022-06-22,4.51,4.861,4.11,4.75,4.75,7400
2022-06-23,4.552,4.75,4.52,4.75,4.75,3700
2022-06-24,4.54,4.77,4.54,4.7,4.7,2500
2022-06-27,4.7,4.9,4.56,4.56,4.56,2100
2022-06-28,4.5,4.85,4.48,4.85,4.85,1100
2022-06-29,4.85,4.85,4.85,4.85,4.85,0
2022-06-30,4.41,4.75,4.35,4.4,4.4,3500
2022-07-01,4.68,4.9,4.54,4.821,4.821,3200
2022-07-05,4.8,4.8,4.63,4.7,4.7,800
2022-07-06,4.7,4.82,4.7,4.7,4.7,700
2022-07-07,4.83,4.83,4.33,4.79,4.79,6700
2022-07-08,4.74,4.77,4.62,4.63,4.63,800
2022-07-11,5.0,5.0,4.8,4.89,4.89,2800
2022-07-12,4.8,4.87,4.8,4.87,4.87,400
2022-07-13,4.8,4.87,4.75,4.87,4.87,1000
2022-07-14,4.82,4.87,4.562,4.8,4.8,4000
2022-07-15,4.8,4.87,4.75,4.8,4.8,800
2022-07-18,4.85,4.85,4.72,4.827,4.827,900
2022-07-19,4.85,4.9,4.8,4.9,4.9,1900
2022-07-20,4.94,4.95,4.66,4.91,4.91,2900
2022-07-21,4.95,5.0,4.7,4.935,4.935,4200
2022-07-22,4.85,4.91,4.6,4.91,4.91,1700
2022-07-25,4.93,4.93,4.74,4.8,4.8,1300
2022-07-26,4.85,4.89,4.48,4.8,4.8,1200
2022-07-27,4.7,4.79,4.6,4.79,4.79,400
2022-07-28,4.726,4.8,4.56,4.8,4.8,3300
2022-07-29,4.51,4.8,4.51,4.61,4.61,1900
2022-08-01,4.75,4.8,4.66,4.77,4.77,600
2022-08-02,4.77,4.8,4.65,4.8,4.8,300
2022-08-03,4.8,4.8,4.65,4.8,4.8,400
2022-08-04,4.65,4.8,4.65,4.8,4.8,300
2022-08-05,4.8,4.8,4.8,4.8,4.8,200
2022-08-08,4.77,4.77,4.5,4.754,4.754,500
2022-08-09,4.754,4.754,4.754,4.754,4.754,0
2022-08-10,4.694,4.75,4.694,4.75,4.75,300
2022-08-11,4.51,4.7,4.502,4.7,4.7,1300
2022-08-12,4.7,4.7,4.7,4.7,4.7,200
2022-08-15,4.68,4.68,4.68,4.68,4.68,200
2022-08-16,4.64,4.766,4.64,4.766,4.766,400
2022-08-17,4.75,4.773,4.69,4.773,4.773,700
2022-08-18,4.73,4.73,4.5,4.56,4.56,1900
2022-08-19,4.7,4.7,4.67,4.7,4.7,600
2022-08-22,4.593,4.7,4.5,4.63,4.63,3100
2022-08-23,4.63,4.65,4.52,4.57,4.57,2300
2022-08-24,4.523,4.64,4.23,4.572,4.572,2600
2022-08-25,4.65,4.65,4.35,4.62,4.62,7100
2022-08-26,4.42,4.6,4.13,4.47,4.47,3100
2022-08-29,4.424,4.47,4.339,4.438,4.438,1200
2022-08-30,4.17,4.43,4.17,4.43,4.43,1200
2022-08-31,4.17,4.53,4.04,4.53,4.53,2100
2022-09-01,4.393,4.393,4.393,4.393,4.393,500
2022-09-02,4.478,4.5,4.43,4.43,4.43,900
2022-09-06,4.43,4.43,4.17,4.43,4.43,700
2022-09-07,4.45,4.5,4.16,4.5,4.5,2100
2022-09-08,4.5,4.5,4.5,4.5,4.5,0
2022-09-09,4.6,4.6,4.6,4.6,4.6,600
2022-09-12,4.42,4.56,4.42,4.56,4.56,600
2022-09-13,4.56,4.56,4.56,4.56,4.56,0
2022-09-14,4.56,4.56,4.56,4.56,4.56,0
2022-09-15,4.56,4.56,4.56,4.56,4.56,0
2022-09-16,4.1,4.452,4.1,4.17,4.17,1000
2022-09-19,14.99,16.379999,5.4,5.5,5.5,12726200
2022-09-20,6.45,8.61,5.56,5.96,5.96,15426100
2022-09-21,5.31,5.46,4.26,4.41,4.41,1177200
2022-09-22,4.08,5.0,3.16,3.94,3.94,2641700
2022-09-23,3.94,4.006,3.4,3.79,3.79,295600
2022-09-26,3.5,3.78,3.27,3.52,3.52,237300
2022-09-27,3.5,3.65,3.0,3.27,3.27,263600
2022-09-28,3.01,3.258,2.85,3.0,3.0,143500
2022-09-29,2.94,2.96,2.72,2.94,2.94,93200
2022-09-30,2.89,2.97,2.78,2.87,2.87,59700
2022-10-03,2.98,2.98,2.66,2.67,2.67,72600
2022-10-04,2.7,2.75,2.4,2.43,2.43,102800
2022-10-05,2.42,2.42,2.16,2.2,2.2,53500
2022-10-06,2.28,2.87,2.2,2.72,2.72,251800
2022-10-07,2.82,2.82,2.3,2.66,2.66,72100
2022-10-10,2.67,2.72,2.311,2.72,2.72,26700
2022-10-11,2.87,2.89,2.31,2.67,2.67,24000
2022-10-12,2.554,2.68,2.347,2.64,2.64,53000
2022-10-13,2.596,2.601,2.39,2.47,2.47,197700
2022-10-14,2.531,2.58,2.35,2.534,2.534,93900
2022-10-17,2.4,2.53,2.33,2.41,2.41,93300
2022-10-18,2.42,2.46,2.337,2.37,2.37,64300
2022-10-19,2.4,2.46,2.35,2.4,2.4,22600
2022-10-20,2.4,2.49,2.35,2.402,2.402,18000
2022-10-21,2.32,2.43,2.3,2.4,2.4,14400
2022-10-24,2.55,3.29,2.41,2.895,2.895,709400
2022-10-25,2.83,2.974,2.55,2.89,2.89,89100
2022-10-26,2.75,3.15,2.723,3.08,3.08,94200
2022-10-27,3.14,3.4,2.745,3.0,3.0,307800
2022-10-28,2.88,3.12,2.795,2.93,2.93,68600
2022-10-31,2.99,2.99,2.75,2.9,2.9,30500
2022-11-01,3.04,3.09,2.76,2.95,2.95,87900
2022-11-02,2.99,2.99,2.807,2.85,2.85,18200
2022-11-03,2.83,2.99,2.75,2.81,2.81,92300
2022-11-04,2.9,2.9,2.4,2.6,2.6,60600
2022-11-07,2.52,2.67,2.41,2.51,2.51,25000
2022-11-08,2.34,2.56,2.295,2.36,2.36,26600
2022-11-09,2.45,2.45,2.12,2.14,2.14,47800
2022-11-10,2.22,2.62,2.22,2.31,2.31,25600
2022-11-11,2.23,2.48,2.22,2.25,2.25,11500
2022-11-14,2.37,2.5,2.27,2.47,2.47,33500
2022-11-15,2.45,3.05,2.275,3.0,3.0,129800
2022-11-16,3.01,3.88,2.62,3.59,3.59,239300
2022-11-17,3.49,3.58,3.15,3.49,3.49,34400
2022-11-18,3.49,3.873,3.49,3.7,3.7,49700
2022-11-21,3.68,3.69,3.16,3.28,3.28,57300
2022-11-22,3.41,3.44,3.2,3.35,3.35,21300
2022-11-23,3.32,3.48,3.22,3.42,3.42,16000
2022-11-25,3.48,3.7,3.18,3.32,3.32,29600
2022-11-28,3.25,3.52,3.2,3.52,3.52,29000
2022-11-29,3.34,3.75,3.22,3.67,3.67,50000
2022-11-30,3.5,5.03,3.37,5.03,5.03,135600
2022-12-01,4.36,4.59,3.952,4.42,4.42,33700
2022-12-02,4.3,4.69,4.3,4.595,4.595,27800
2022-12-05,4.56,4.56,4.32,4.33,4.33,11900
2022-12-06,4.27,4.38,3.91,4.25,4.25,19900
2022-12-07,4.1,4.606,4.07,4.3,4.3,24800
2022-12-08,4.28,4.42,4.05,4.18,4.18,11700
2022-12-09,4.16,4.16,3.84,3.93,3.93,8600
2022-12-12,3.87,4.28,3.85,3.95,3.95,21800
2022-12-13,3.96,4.35,3.667,3.79,3.79,50500
2022-12-14,3.72,4.18,3.5,4.18,4.18,25800
2022-12-15,4.06,4.06,3.65,3.87,3.87,16000
2022-12-16,3.616,3.73,3.6,3.65,3.65,2300
2022-12-19,3.67,3.86,3.55,3.86,3.86,5100
2022-12-20,3.59,3.652,3.54,3.61,3.61,13800
2022-12-21,3.5,3.8,3.5,3.8,3.8,2500
2022-12-22,3.757,3.8,3.51,3.67,3.67,4800
2022-12-23,3.72,3.8,3.7,3.8,3.8,6000
2022-12-27,4.1,4.1,3.6,3.89,3.89,20700
2022-12-28,3.73,3.9,3.614,3.882,3.882,7700
2022-12-29,3.695,3.87,3.6,3.6,3.6,4500
2022-12-30,3.7,3.9,3.62,3.878,3.878,5200
2023-01-03,3.79,3.91,3.6,3.89,3.89,9700
2023-01-04,3.87,3.89,3.66,3.83,3.83,4100
2023-01-05,3.765,3.87,3.73,3.78,3.78,7400
2023-01-06,3.64,3.9,3.64,3.81,3.81,32500
2023-01-09,3.99,4.0,3.6,3.82,3.82,49800
2023-01-10,3.67,3.69,3.51,3.51,3.51,2600
2023-01-11,3.52,3.81,3.32,3.47,3.47,4600
2023-01-12,3.36,3.37,3.3,3.37,3.37,3200
2023-01-13,3.24,3.484,3.19,3.19,3.19,3800
2023-01-17,3.441,3.441,3.17,3.42,3.42,2900
2023-01-18,3.31,3.45,3.2,3.38,3.38,3800
2023-01-19,3.228,3.5,3.2,3.5,3.5,14900
2023-01-20,3.29,3.495,3.23,3.45,3.45,5100
