Date,Open,High,Low,Close,Adj Close,Volume
2021-11-10,5.47,6.25,5.24,5.32,5.32,4739800
2021-11-11,5.25,5.27,4.75,4.92,4.92,1858400
2021-11-12,4.99,5.0,4.51,4.58,4.58,1885200
2021-11-15,4.44,4.468,3.58,3.63,3.63,3358600
2021-11-16,3.646,3.74,3.52,3.63,3.63,803200
2021-11-17,3.51,3.58,3.22,3.3,3.3,1129100
2021-11-18,3.24,3.327,2.84,3.05,3.05,1356500
2021-11-19,2.93,3.46,2.862,2.967,2.967,1271100
2021-11-22,2.97,3.046,2.65,2.71,2.71,1153200
2021-11-23,2.71,3.05,2.71,2.92,2.92,1629300
2021-11-24,2.99,3.37,2.96,3.24,3.24,2497700
2021-11-26,3.02,3.43,2.93,3.39,3.39,2312300
2021-11-29,3.53,3.58,3.25,3.34,3.34,2117000
2021-11-30,3.24,3.29,2.83,2.87,2.87,1574500
2021-12-01,2.88,2.95,2.6,2.65,2.65,1563900
2021-12-02,2.57,2.64,2.31,2.57,2.57,1253700
2021-12-03,2.58,2.63,2.28,2.33,2.33,1011400
2021-12-06,2.35,2.69,2.22,2.57,2.57,2084100
2021-12-07,2.9,2.96,2.58,2.63,2.63,18768400
2021-12-08,2.49,2.68,2.4,2.59,2.59,3606300
2021-12-09,2.59,3.16,2.59,2.68,2.68,11888200
2021-12-10,2.829,3.02,2.65,2.95,2.95,4191500
2021-12-13,2.92,3.24,2.88,3.08,3.08,4764100
2021-12-14,3.05,3.05,2.69,2.74,2.74,2345200
2021-12-15,2.77,2.83,2.58,2.72,2.72,1317700
2021-12-16,2.67,2.716,2.57,2.6,2.6,863800
2021-12-17,2.6,2.87,2.57,2.78,2.78,2108800
2021-12-20,2.81,3.29,2.7,3.11,3.11,4343900
2021-12-21,3.2,3.59,3.121,3.26,3.26,4034300
2021-12-22,3.2,3.26,2.827,2.85,2.85,3826600
2021-12-23,3.07,3.15,2.91,3.11,3.11,1619300
2021-12-27,3.07,3.14,2.951,2.99,2.99,1143600
2021-12-28,2.97,2.99,2.732,2.79,2.79,1586300
2021-12-29,2.76,2.79,2.53,2.57,2.57,1437900
2021-12-30,2.6,2.67,2.54,2.61,2.61,720500
2021-12-31,2.64,2.66,2.484,2.56,2.56,627400
2022-01-03,2.65,2.95,2.605,2.915,2.915,1347700
2022-01-04,2.9,2.93,2.75,2.83,2.83,961300
2022-01-05,2.8,2.92,2.7,2.77,2.77,1028800
2022-01-06,2.74,2.78,2.55,2.57,2.57,1021800
2022-01-07,2.57,2.66,2.52,2.63,2.63,632100
2022-01-10,2.64,2.79,2.55,2.79,2.79,636600
2022-01-11,2.73,2.8,2.7,2.74,2.74,572700
2022-01-12,3.17,3.2,2.72,2.74,2.74,7243700
2022-01-13,2.65,2.95,2.56,2.66,2.66,4739300
2022-01-14,2.62,2.71,2.6,2.66,2.66,605500
2022-01-18,2.579,2.62,2.52,2.575,2.575,653600
2022-01-19,2.62,2.648,2.45,2.46,2.46,751700
2022-01-20,2.45,2.48,2.27,2.3,2.3,909300
2022-01-21,2.25,2.29,2.02,2.08,2.08,979800
2022-01-24,1.82,1.85,1.54,1.82,1.82,1586600
2022-01-25,1.71,1.94,1.66,1.76,1.76,933800
2022-01-26,1.8,1.815,1.66,1.69,1.69,309800
2022-01-27,1.71,1.73,1.55,1.55,1.55,555000
2022-01-28,1.64,1.64,1.45,1.56,1.56,591800
